GPU Name,Passmark mark,GPU Value,MSRP
Radeon R7 A12-9800E RADEON,1105,790,7.94,$139.19*
Radeon R7 A265,954,879,NA,NA
Radeon R7 A360,676,1099,NA,NA
Radeon R7 A365,781,1004,NA,NA
Radeon R7 A370,1281,723,NA,NA
Radeon R7 A8 PRO-7600B,743,1050,NA,NA
Radeon R7 A8-7500,1027,833,NA,NA
Radeon R7 A8-7500 4C+6G,853,955,NA,NA
Radeon R7 A8-7600,922,904,NA,NA
Radeon R7 A8-7650K,862,946,NA,NA
Radeon R7 A8-7670K,876,934,NA,NA
Radeon R7 A8-7680,948,887,NA,NA
Radeon R7 A8-8650,912,911,NA,NA
Radeon R7 A8-9600 RADEON,1068,810,NA,NA
Radeon R7 FX-8800P,1029,830,NA,NA
Radeon R7 FX-9800P RADEON,848,958,1.60,$530.00*
Radeon R7 FX-9830P RADEON,1790,597,NA,NA
Radeon R7 G,869,940,NA,NA
Radeon R7 M260,448,1359,0.56,$799.00*
Radeon R7 M260DX,822,981,NA,NA
Radeon R7 M260X,954,880,NA,NA
Radeon R7 M265,565,1227,NA,NA
Radeon R7 M265DX,498,1299,NA,NA
Radeon R7 M270,750,1040,NA,NA
Radeon R7 M270DX,961,-1,NA,NA
Radeon R7 M340,651,1127,NA,NA
Radeon R7 M350,1027,834,NA,NA
Radeon R7 M360,551,1241,NA,NA
Radeon R7 M365X,883,929,NA,NA
Radeon R7 M370,1417,684,NA,NA
Radeon R7 M380,1668,622,NA,NA
Radeon R7 M440,866,942,NA,NA
Radeon R7 M445,926,901,1.25,$744.00*
Radeon R7 M460,1074,808,NA,NA
Radeon R7 M465,995,854,NA,NA
Radeon R7 M465X,1623,628,NA,NA
Radeon R7 Opteron X3421,1168,763,NA,NA
Radeon R7 PRO A10-8750B,954,881,NA,NA
Radeon R7 PRO A10-8770,1319,708,NA,NA
Radeon R7 PRO A10-8770E,1134,778,NA,NA
Radeon R7 PRO A10-8850B,945,891,NA,NA
Radeon R7 PRO A10-9700,1263,726,NA,NA
Radeon R7 PRO A10-9700B,1066,812,NA,NA
Radeon R7 PRO A10-9700E,1142,776,2.16,$529.00*
Radeon R7 PRO A12-8800B,743,1048,NA,NA
Radeon R7 PRO A12-8830B,882,930,NA,NA
Radeon R7 PRO A12-8870,1375,691,NA,NA
Radeon R7 PRO A12-8870E,1160,770,NA,NA
Radeon R7 PRO A12-9800,1340,705,NA,NA
Radeon R7 PRO A12-9800B,829,975,NA,NA
Radeon R7 PRO A12-9800E,1014,840,NA,NA
Radeon R7 PRO A6-9500 2C+6G,781,1003,NA,NA
Radeon R7 PRO A8-8650B,832,971,NA,NA
Radeon R7 PRO A8-8670E,1309,714,NA,NA
Radeon R7 PRO A8-9600,1049,822,NA,NA
Radeon R7E,564,1229,NA,NA
Radeon R8 M365DX,740,1054,NA,NA
Radeon R8 M445DX,806,992,NA,NA
Radeon R8 M535DX,670,1108,NA,NA
Radeon R9 255,1484,671,4.31,$344.16*
Radeon R9 260,3181,359,NA,NA
Radeon R9 270,4306,288,NA,NA
Radeon R9 270 / R7 370,4259,293,19.98,$213.16*
Radeon R9 270X,4925,260,15.09,$326.50*
Radeon R9 280,5667,231,NA,NA
Radeon R9 280X,6289,213,NA,NA
Radeon R9 285,6680,-1,NA,NA
Radeon R9 285 / 380,5549,236,11.44,$485.00*
Radeon R9 290,8401,162,NA,NA
Radeon R9 290 / 390,8150,169,21.45,$380.00*
Radeon R9 290X,8819,153,NA,NA
Radeon R9 290X / 390X,8389,163,26.22,$319.99*
Radeon R9 295X2,8619,159,17.27,$499.10*
Radeon R9 350,2026,530,6.78,$299.00*
Radeon R9 360,3031,375,22.64,$133.89*
Radeon R9 370,4722,269,29.51,$159.99*
Radeon R9 380,6258,215,69.55,$89.99*
Radeon R9 380X,6198,217,17.71,$349.99*
Radeon R9 390,9045,148,NA,NA
Radeon R9 390X,9480,134,NA,NA
Radeon R9 A375,1024,-1,NA,NA
Radeon R9 Fury,9564,133,21.58,$443.10*
Radeon R9 Fury + Fury X,9741,128,21.65,$449.99*
Radeon R9 Fury X,10133,121,NA,NA
Radeon R9 M265X,983,858,NA,NA
Radeon R9 M270X,1204,751,NA,NA
Radeon R9 M275,1114,787,1.59,$699.99*
Radeon R9 M275X,1962,551,NA,NA
Radeon R9 M275X / M375,1574,644,NA,NA
Radeon R9 M280X,922,905,NA,NA
Radeon R9 M290X,3246,354,NA,NA
Radeon R9 M295X,5150,251,3.55,"$1,449.00*"
Radeon R9 M360,1760,605,NA,NA
Radeon R9 M365X,1481,672,NA,NA
Radeon R9 M370X,1382,689,1.55,$889.00*
Radeon R9 M375,837,964,NA,NA
Radeon R9 M375X,1877,570,NA,NA
Radeon R9 M380,2903,385,NA,NA
Radeon R9 M385,2017,532,NA,NA
Radeon R9 M385X,1929,560,NA,NA
Radeon R9 M390X,3020,378,NA,NA
Radeon R9 M395,4991,257,NA,NA
Radeon R9 M395X,4775,264,NA,NA
Radeon R9 M470,2288,480,NA,NA
Radeon R9 M470X,3400,339,NA,NA
Radeon R9 M485X,3204,357,NA,NA
Radeon RX 460,4125,298,24.73,$166.81*
Radeon RX 470/570,8087,171,20.79,$388.99*
Radeon RX 480,8673,155,25.51,$339.99*
Radeon RX 5300,7610,185,NA,NA
Radeon RX 5300M,3854,312,NA,NA
Radeon RX 540,1794,596,NA,NA
Radeon RX 550,2715,406,15.03,$180.64
Radeon RX 5500,8826,152,NA,NA
Radeon RX 5500 XT,9187,143,49.67,$184.99*
Radeon RX 5500M,4302,289,NA,NA
Radeon RX 550X,2303,477,NA,NA
Radeon RX 560,3589,325,15.89,$225.91
Radeon RX 5600,11029,109,NA,NA
Radeon RX 5600 XT,13835,73,25.39,$545.00*
Radeon RX 5600M,7380,191,NA,NA
Radeon RX 560X,3181,360,NA,NA
Radeon RX 5700,14671,63,16.30,$899.95*
Radeon RX 5700 XT,16899,39,24.32,$694.94*
Radeon RX 5700 XT 50th Anniversary,16634,43,NA,NA
Radeon RX 570X,1923,561,6.87,$279.99*
Radeon RX 580,8914,150,24.49,$364.01*
Radeon RX 580 2048SP,7835,177,NA,NA
Radeon RX 580X,7798,179,NA,NA
Radeon RX 590,9662,131,17.57,$549.99*
Radeon RX 640,1655,623,NA,NA
Radeon RX 6400,6658,205,41.62,$159.99
Radeon RX 6500 XT,9395,137,46.98,$199.99
Radeon RX 6600,13980,69,42.49,$329.00*
Radeon RX 6600 XT,15870,53,44.71,$354.99
Radeon RX 6600M,10294,117,34.32,$299.95
Radeon RX 6650 XT,16199,47,41.54,$389.99
Radeon RX 6650M,6212,216,NA,NA
Radeon RX 6700 XT,18891,27,44.98,$419.99
Radeon RX 6700M,11965,95,NA,NA
Radeon RX 6700S,12428,89,NA,NA
Radeon RX 6750 XT,19256,24,35.01,$549.99
Radeon RX 6800,20768,15,36.44,$569.99
Radeon RX 6800 XT,23633,8,35.01,$674.99
Radeon RX 6800M,9358,139,NA,NA
Radeon RX 6800S,13895,71,NA,NA
Radeon RX 6900 XT,25752,5,28.94,$889.99
Radeon RX 6950 XT,28287,2,25.72,"$1,099.99"
Radeon RX Vega 10,1679,620,NA,NA
Radeon RX Vega 11,2131,511,2.13,"$1,002.00*"
Radeon RX Vega 11 PRD,2401,460,NA,NA
Radeon RX Vega 11 Processor,1821,584,NA,NA
Radeon RX Vega 56,13627,77,18.10,$752.99*
Radeon RX Vega 6,1014,842,NA,NA
Radeon RX Vega 64,14658,64,18.32,$799.99*
Radeon RX Vega 8,1552,650,NA,NA
Radeon RX Vega M GH,6738,203,NA,NA
Radeon RX Vega M GL,3367,344,NA,NA
Radeon RX Vega11,1717,613,NA,NA
Radeon RX590 GME,8627,157,NA,NA
Radeon Ryzen 3 4300G,1595,639,NA,NA
Radeon Ryzen 3 4300GE,2294,478,NA,NA
Radeon Ryzen 3 4300U,1319,709,NA,NA
Radeon Ryzen 3 5300G,1405,686,NA,NA
Radeon Ryzen 3 5300GE,1418,-1,NA,NA
Radeon Ryzen 3 5400U,1202,752,NA,NA
Radeon Ryzen 3 PRO 4200GE,1712,615,NA,NA
Radeon Ryzen 3 PRO 4350G,2168,505,NA,NA
Radeon Ryzen 3 PRO 4350GE,1514,663,NA,NA
Radeon Ryzen 3 PRO 4450U,1521,661,NA,NA
Radeon Ryzen 3 PRO 5350G,1407,-1,NA,NA
Radeon Ryzen 3 PRO 5350GE,2535,-1,NA,NA
Radeon Ryzen 3 PRO 5450U,1354,699,NA,NA
Radeon Ryzen 5 4500U,1802,591,NA,NA
Radeon Ryzen 5 4600G,2142,509,NA,NA
Radeon Ryzen 5 4600GE,1411,-1,NA,NA
Radeon Ryzen 5 4600H,2642,420,NA,NA
Radeon Ryzen 5 4600HS,7942,-1,NA,NA
Radeon Ryzen 5 4600U,1768,601,NA,NA
Radeon Ryzen 5 5560U,2083,518,NA,NA
Radeon Ryzen 5 5600G,2548,436,NA,NA
Radeon Ryzen 5 5600H,2559,433,NA,NA
Radeon Ryzen 5 5600U,2032,526,NA,NA
Radeon Ryzen 5 Microsoft Surface Edition,2102,514,NA,NA
Radeon Ryzen 5 PRO 4650G,2392,462,NA,NA
Radeon Ryzen 5 PRO 4650GE,2013,533,NA,NA
Radeon Ryzen 5 PRO 4650U,1697,619,NA,NA
Radeon Ryzen 5 PRO 5650G,2189,500,NA,NA
Radeon Ryzen 5 PRO 5650GE,2331,471,NA,NA
Radeon Ryzen 5 PRO 5650U,2096,516,NA,NA
Radeon Ryzen 7 4700G,2534,440,NA,NA
Radeon Ryzen 7 4700GE,2579,432,NA,NA
Radeon Ryzen 7 4700U,2029,529,NA,NA
Radeon Ryzen 7 4800H,5016,256,NA,NA
Radeon Ryzen 7 4800HS,8841,151,NA,NA
Radeon Ryzen 7 4800U,2263,488,NA,NA
Radeon Ryzen 7 4850U Mobile,2137,-1,NA,NA
Radeon Ryzen 7 5700G,2803,397,NA,NA
Radeon Ryzen 7 5700GE,2964,380,NA,NA
Radeon Ryzen 7 5800H,2678,414,NA,NA
Radeon Ryzen 7 5800U,2343,466,NA,NA
Radeon Ryzen 7 Microsoft Surface Edition,2284,482,NA,NA
Radeon Ryzen 7 PRO 4750G,2603,428,NA,NA
Radeon Ryzen 7 PRO 4750GE,2192,498,NA,NA
Radeon Ryzen 7 PRO 4750U,2031,527,NA,NA
Radeon Ryzen 7 PRO 5750G,2409,459,NA,NA
Radeon Ryzen 7 PRO 5750GE,2642,421,NA,NA
Radeon Ryzen 7 PRO 5850U,2235,491,NA,NA
Radeon Ryzen 9 4900H,2611,425,NA,NA
Radeon Ryzen 9 4900HS,8572,160,NA,NA
Radeon Ryzen 9 4900HSS,9460,-1,NA,NA
Radeon Ryzen 9 5900H,2754,-1,NA,NA
Radeon Ryzen 9 5900HS,8428,161,NA,NA
Radeon Ryzen 9 5900HX,2963,381,NA,NA
Radeon Ryzen Embedded V2516,1163,767,NA,NA
Radeon Ryzen Embedded V2718,2134,510,NA,NA
Radeon Ryzen Embedded V2748,1296,-1,NA,NA
Radeon Sky 500,4736,267,NA,NA
Radeon TM R9 A360,2105,513,NA,NA
Radeon VE,2,2252,NA,NA
Radeon Vega 10,1550,651,NA,NA
Radeon Vega 10 Mobile,1465,675,NA,NA
Radeon Vega 11,1846,577,NA,NA
Radeon Vega 2,470,1330,NA,NA
Radeon Vega 3,886,926,0.33,"$2,677.99*"
Radeon Vega 3 Mobile,1009,843,NA,NA
Radeon Vega 6,1300,719,0.72,"$1,799.99*"
Radeon Vega 8,1590,642,12.54,$126.86*
Radeon Vega 8 Mobile,1438,678,NA,NA
Radeon Vega 9,1591,641,NA,NA
Radeon Vega Frontier Edition,13810,74,8.22,"$1,679.99*"
Radeon VII,16798,42,8.84,"$1,899.95*"
Radeon X1050,49,1946,NA,NA
Radeon X1200,32,2026,NA,NA
Radeon X1250,37,1996,NA,NA
Radeon X1270,31,2031,NA,NA
Radeon X1300,58,1919,0.61,$95.78*
Radeon X1300 PRO,84,1830,NA,NA
Radeon X1550,66,1895,0.43,$155.00*
Radeon X1550 64-bit,47,1952,NA,NA
Radeon X1600,49,1943,NA,NA
Radeon X1600 Pro,98,1785,NA,NA
Radeon X1600 Pro / X1300XT,69,1883,NA,NA
Radeon X1600 XT,115,1731,NA,NA
Radeon X1650 GTO,74,1858,NA,NA
Radeon X1650 Pro,84,1827,0.53,$160.89*
Radeon X1650 SE,71,1875,NA,NA
Radeon X1700 Targa Edition,116,1728,NA,NA
Radeon X1800 GTO,140,1660,NA,NA
Radeon X1900 CrossFire Edition,137,1672,NA,NA
Radeon X1900 GT,145,1653,NA,NA
Radeon X1950 CrossFire Edition,151,1640,NA,NA
Radeon X1950 GT,106,1764,NA,NA
Radeon X1950 Pro,112,1741,NA,NA
RADEON X300SE,38,1992,NA,NA
RADEON X550,50,1939,NA,NA
RADEON X550XT,56,1927,NA,NA
Radeon X550XTX,70,1876,NA,NA
RADEON X600 256MB HyperMemory,56,1926,NA,NA
RADEON X600XT,91,1813,NA,NA
RADEON X700,72,1869,NA,NA
RADEON X700 PRO,75,1855,NA,NA
RADEON X700 SE,71,1874,NA,NA
RADEON X800 GT,84,1832,NA,NA
RADEON X800 GTO,114,1734,NA,NA
RADEON X800 PRO,64,1900,NA,NA
RADEON X800 PRO/GTO,73,1866,NA,NA
RADEON X800 SE,129,1687,NA,NA
RADEON X800 XL,69,1882,NA,NA
RADEON X800 XT,97,1793,NA,NA
RADEON X800 XT Platinum Edition,81,1847,NA,NA
RADEON X800GT,79,1852,NA,NA
RADEON X850 PRO,72,1868,NA,NA
RADEON X850 XT,81,1849,NA,NA
RADEON X850 XT Platinum Edition,81,1840,NA,NA
Radeon Xpress 1100,34,2015,NA,NA
Radeon Xpress 1150,29,2037,NA,NA
Radeon Xpress 1200,35,2004,NA,NA
Radeon Xpress 1250,42,1970,NA,NA
Radeon Xpress 1270,26,2048,NA,NA
Radeon Xpress 1300,52,1931,NA,NA
Radeon Xpress 1300M,40,1978,NA,NA
RADEON XPRESS 200,29,2039,NA,NA
RADEON XPRESS 200 CROSSFIRE,18,2082,NA,NA
RADEON XPRESS 200M,22,2071,NA,NA
Radeon. HD 7730M,928,900,NA,NA
RadeonT,132,-1,NA,NA
RadeonT 540X,1804,590,NA,NA
RadeonT R5 430,1016,839,NA,NA
RadeonT R7 450,2184,502,NA,NA
RadeonT RX 5300,7321,192,NA,NA
RadeonT RX 5500M,3165,361,NA,NA
RadeonT RX 560X,1809,588,NA,NA
RadeonT RX 640,1473,673,NA,NA
RadeonT RX 6850M,15899,52,NA,NA
RadeonT Vega 3,774,-1,NA,NA
Rage 128 Pro,1,2261,NA,NA
RAGE 128 PRO AGP 4X TMDS,1,2263,NA,NA
Rage Fury Pro/Xpert 2000 Pro,3,2223,NA,NA
Red Hat QXL controller,31,2030,NA,NA
RGH Drivers v3,11,2102,NA,NA
RIVA TNT2 Model 64/Model 64 Pro,3,2200,NA,NA
RIVA TNT2/TNT2 Pro,3,2212,NA,NA
RTX A1000 Laptop GPU,10389,114,NA,NA
RTX A2000,13110,82,15.50,$845.99*
RTX A2000 12GB,14424,67,NA,NA
RTX A2000 8GB Laptop GPU,10294,116,NA,NA
RTX A2000 Laptop GPU,10166,120,NA,NA
RTX A3000 12GB Laptop GPU,13745,75,NA,NA
RTX A3000 Laptop GPU,13178,81,NA,NA
RTX A4000,18914,26,15.33,"$1,233.98*"
RTX A4000 Laptop GPU,16029,51,NA,NA
RTX A4500,21096,14,12.04,"$1,752.60*"
RTX A5000,23614,9,8.97,"$2,631.20*"
RTX A5000 Laptop GPU,16080,50,NA,NA
RTX A5500,23977,7,NA,NA
RTX A5500 Laptop GPU,16981,38,NA,NA
RTX A6000,21983,12,4.40,"$4,999.99"
RV530 PRO,118,1721,NA,NA
Ryzen 3 4300G with Radeon Graphics,1902,565,NA,NA
Ryzen 3 4300GE with Radeon Graphics,2402,-1,NA,NA
Ryzen 3 4300U with Radeon Graphics,1348,700,NA,NA
Ryzen 3 5300G with Radeon Graphics,2223,492,NA,NA
Ryzen 3 5300GE with Radeon Graphics,2386,464,NA,NA
Ryzen 3 5300U with Radeon Graphics,1609,634,NA,NA
Ryzen 3 5400U with Radeon Graphics,1734,610,NA,NA
Ryzen 3 PRO 4200G with Radeon Graphics,1798,-1,NA,NA
Ryzen 3 PRO 4200GE with Radeon Graphics,1783,599,NA,NA
Ryzen 3 PRO 4300U with Radeon Graphics,1542,655,NA,NA
Ryzen 3 Pro 4350G with Radeon Graphics,2190,499,NA,NA
Ryzen 3 PRO 4350GE with Radeon Graphics,2180,503,NA,NA
Ryzen 3 PRO 4450U with Radeon Graphics,1538,658,NA,NA
Ryzen 3 PRO 5350G with Radeon Graphics,2341,468,NA,NA
Ryzen 3 PRO 5350GE with Radeon Graphics,2340,469,NA,NA
Ryzen 3 PRO 5450U with Radeon Graphics,1555,648,NA,NA
Ryzen 5 2500U with Radeon Vega,1503,666,NA,NA
Ryzen 5 4500U with Radeon Graphics,1812,586,NA,NA
Ryzen 5 4600G with Radeon Graphics,2061,521,NA,NA
Ryzen 5 4600H with Radeon Graphics,1938,558,NA,NA
Ryzen 5 4600U with Radeon Graphics,1951,556,NA,NA
Ryzen 5 5500U with Radeon Graphics,2000,541,NA,NA
Ryzen 5 5600G with Radeon Graphics,2678,413,NA,NA
Ryzen 5 5600GE with Radeon Graphics,2601,429,NA,NA
Ryzen 5 5600H with Radeon Graphics,2386,463,NA,NA
Ryzen 5 5600U with Radeon Graphics,2147,508,NA,NA
Ryzen 5 PRO 4400G with Radeon Graphics,2305,476,NA,NA
Ryzen 5 PRO 4400GE with Radeon Graphics,1441,677,NA,NA
Ryzen 5 PRO 4500U with Radeon Graphics,2007,536,NA,NA
Ryzen 5 Pro 4650G with Radeon Graphics,2395,461,NA,NA
Ryzen 5 PRO 4650GE with Radeon Graphics,1976,546,NA,NA
Ryzen 5 PRO 4650U with Radeon Graphics,1698,618,NA,NA
Ryzen 5 PRO 5650G with Radeon Graphics,2522,445,NA,NA
Ryzen 5 PRO 5650GE with Radeon Graphics,2470,450,NA,NA
Ryzen 5 PRO 5650U with Radeon Graphics,2199,496,NA,NA
Ryzen 7 2700U with Radeon Vega,1617,631,NA,NA
Ryzen 7 4700G with Radeon Graphics,2186,501,NA,NA
Ryzen 7 4700GE with Radeon Graphics,2496,447,NA,NA
Ryzen 7 4700U with Radeon Graphics,2033,525,NA,NA
Ryzen 7 4800H with Radeon Graphics,2113,512,NA,NA
Ryzen 7 4800HS with Radeon Graphics,6999,-1,NA,NA
Ryzen 7 4800U with Radeon Graphics,2343,467,NA,NA
Ryzen 7 5700G with Radeon Graphics,2717,405,NA,NA
Ryzen 7 5700GE with Radeon Graphics,2675,415,NA,NA
Ryzen 7 5700U with Radeon Graphics,2285,481,NA,NA
Ryzen 7 5800H with Radeon Graphics,2798,398,NA,NA
Ryzen 7 5800HS with Radeon Graphics,7391,-1,NA,NA
Ryzen 7 5800U with Radeon Graphics,2434,456,NA,NA
Ryzen 7 Extreme Edition,2157,507,NA,NA
Ryzen 7 PRO 4700G with Radeon Graphics,2879,-1,NA,NA
Ryzen 7 Pro 4750G with Radeon Graphics,2681,411,NA,NA
Ryzen 7 PRO 4750GE with Radeon Graphics,2549,435,NA,NA
Ryzen 7 PRO 4750U with Radeon Graphics,2029,528,NA,NA
Ryzen 7 PRO 5750G with Radeon Graphics,2590,431,NA,NA
Ryzen 7 PRO 5750GE with Radeon Graphics,2622,424,NA,NA
Ryzen 7 PRO 5850U with Radeon Graphics,2444,453,NA,NA
Ryzen 9 4900H with Radeon Graphics,2713,-1,NA,NA
Ryzen 9 5900HS with Radeon Graphics,4823,263,NA,NA
Ryzen 9 5900HX with Radeon Graphics,2845,390,NA,NA
Ryzen 9 5980HS with Radeon Graphics,2533,-1,NA,NA
S3 5400EW,146,1651,NA,NA
S3 Chrome 430 ULP,39,1983,NA,NA
S3 Chrome S25 DDR2,18,2079,NA,NA
S3 Chrome S27 DDR3,33,2019,NA,NA
S3 Inc. Savage4,3,2221,NA,NA
S3 ProSavageDDR,1,2260,NA,NA
S3 SuperSavage/IXC 1014,1,2254,NA,NA
SAPPHIRE RADEON 9000 ATLANTIS PRO,5,2157,NA,NA
SAPPHIRE RADEON 9600 ATLANTIS,47,1954,NA,NA
SAPPHIRE Radeon X1550,61,1910,NA,NA
Sapphire RADEON X800 GT,112,1744,NA,NA
Seria Mobility Radeon HD 3400,124,1700,NA,NA
Seria Radeon HD 7700,1603,636,NA,NA
SUMO 9640,650,1129,NA,NA
SUMO 9644,465,1337,NA,NA
SUMO 964A,497,1301,NA,NA
T1000,7748,183,21.95,$352.99
T1000 8GB,7761,181,NA,NA
T1200 Laptop GPU,7984,173,NA,NA
T400,3673,322,23.40,$156.99*
T400 4GB,3574,326,NA,NA
T500,3642,323,NA,NA
T550 Laptop GPU,5027,255,NA,NA
T600,6563,207,30.89,$212.46
T600 Laptop GPU,6896,200,NA,NA
TENSOR 1.0 Driver Intel HD 630,1299,721,NA,NA
Tesla C2050,3515,332,13.02,$269.99*
Tesla C2050 / C2070,3428,337,NA,NA
Tesla C2070,3101,369,5.13,$604.00*
Tesla C2075,3118,367,4.83,$646.00*
Tesla K20m,3895,307,NA,NA
Tesla K20Xm,5428,-1,NA,NA
Tesla K40c,3756,-1,NA,NA
Tesla K40m,704,-1,NA,NA
Tesla K80,7024,-1,11.83,$593.95*
Tesla M10,3490,334,1.30,"$2,695.00*"
Tesla M2070-Q,1305,716,NA,NA
Tesla M40,10116,122,16.86,$600.00*
Tesla M40 24GB,11658,101,NA,NA
Tesla M6,7509,188,37.73,$199.00*
Tesla M60,7770,180,9.86,$787.90*
Tesla P100-PCIE-16GB,7225,195,NA,NA
Tesla P40,16864,40,NA,NA
Tesla T10,13263,-1,NA,NA
Tesla T4,10940,110,3.39,"$3,227.82"
TITAN RTX,20051,18,7.17,"$2,794.99*"
TITAN V,19773,19,9.89,"$1,999.99*"
TITAN V CEO Edition,16987,37,NA,NA
TITAN Xp,19290,22,NA,NA
TITAN Xp COLLECTORS EDITION,18711,31,NA,NA
TRINITY DEVASTATOR MOBILE,699,1082,NA,NA
TRINITY SCRAPPER MOBILE,498,1300,NA,NA
V9560XT V62.11,6,2133,NA,NA
Vanta/Vanta LT,3,2225,NA,NA
VIA Chrome9 HC IGP,4,2186,NA,NA
VIA Chrome9 HC IGP Family,3,2198,NA,NA
VIA Chrome9 HC IGP Family WDDM,3,2210,NA,NA
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,2249,NA,NA
VIA Chrome9 HC IGP WDDM,2,2232,NA,NA
VIA Chrome9 HC IGP WDDM 1.1,2,2233,NA,NA
VIA Chrome9 HC3 IGP,2,2237,NA,NA
VIA Chrome9 HCM IGP,1,2256,NA,NA
VIA Chrome9 HD IGP,9,2108,NA,NA
VIA/S3G C-645/640 GPU,183,1607,NA,NA
VIA/S3G Chrome 645/640 GPU,109,1757,NA,NA
VIA/S3G DeltaChrome IGP,3,2216,NA,NA
VIA/S3G KM400/KN400,4,2192,NA,NA
VIA/S3G UniChrome IGP,4,2187,NA,NA
VIA/S3G UniChrome Pro IGP,4,2171,NA,NA
VIA/S3G UniChromeII,5,2141,NA,NA
VisionTek Radeon 7000,1,2255,NA,NA
WinFast A250 LE,4,2166,NA,NA
WinFast GT 610,211,1570,NA,NA
Xabre,5,2158,NA,NA
XFX Radeon HD 4650 AGP,109,1755,NA,NA
XGI Volari Family v1.13.23.D_V,4,2177,NA,NA
ZX Chrome 645/640 GPU,147,1649,NA,NA
zxcvIntel HD 620,943,-1,NA,NA
